date,neutral,neg,pos,total,closingPTOTF,closingPATTO,covid19,warrants,rev
7-1,16,34,59,109,$1.01 ,$1.30 ,0,-1,-1
27-1,17,14,74,105,$1.03 ,$1.34 ,0,-1,-1
2-2,14,24,66,104,$1.08 ,$1.44 ,0,-1,-1
11-2,21,20,66,107,$1.06 ,$1.39 ,0,-1,-1
21-2,13,18,34,65,$1.02 ,$1.32 ,1,-1,-1
27-2,14,40,57,111,$0.83 ,$1.10 ,16,-1,-1
5-3,27,28,52,107,$0.85 ,$1.12 ,2,-1,-1
12-3,27,25,59,111,$0.62 ,$0.84 ,16,-1,-1
20-3,8,5,17,30,$0.41 ,$0.58 ,4,-1,-1
26-3,29,24,43,96,$0.52 ,$0.71 ,20,-1,-1
2-4,20,5,19,44,$0.51 ,$0.72 ,0,-1,-1
9-4,14,13,23,50,$0.54 ,$0.76 ,17,-1,-1
16-4,27,13,23,63,$0.54 ,$0.76 ,4,-1,-1
23-4,28,16,20,64,$0.51 ,$0.71 ,4,-1,-1
28-4,15,23,25,63,$0.50 ,$0.70 ,2,-1,-1
8-5,7,18,15,40,$0.49 ,$0.69 ,3,-1,-1
14-5,30,26,15,71,$0.43 ,$0.60 ,0,-1,-1
21-5,32,22,34,88,$0.55 ,$0.78 ,6,-1,-1
28-5,30,11,62,103,$0.91 ,$1.25 ,6,-1,-1
4-6,17,9,22,48,$0.85 ,$1.15 ,3,-1,-1
11-6,27,10,25,62,$0.72 ,$0.98 ,2,-1,-1
18-6,44,13,29,86,$0.77 ,$1.04 ,9,-1,-1
25-6,44,13,29,86,$0.77 ,$1.04 ,3,-1,-1
2-7,32,13,9,54,$0.80 ,$1.08 ,0,-1,-1
9-7,39,19,25,83,$0.90 ,$1.22 ,4,-1,-1
16-7,34,46,27,107, $0.75 , $1.01 ,5,-1,-1
23-7,43,21,12,76, $0.73 , $0.97 ,4,-1,-1
30-7,23,9,32,64, $0.73 , $0.99 ,1,3,17
6-8,79,11,28,118, $0.74 , $0.98 ,10,2,24
13-8,39,5,31,75, $0.69 , $0.90 ,0,6,7
20-8,25,9,33,67, $0.62 , $0.80 ,1,3,9
27-8,124,25,26,175, $0.56 , $0.73 ,4,4,7
3-9,39,5,15,59, $0.52 , $0.69 ,4,4,10
10-9,29,5,16,50, $0.53 , $0.70 ,1,1,9
17-9,28,5,16,49, $0.52 , $0.69 ,1,3,13
24-9,52,5,17,74, $0.51 , $0.68 ,1,1,9
1-10,40,27,7,74, $0.56 , $0.76 ,3,16,5
