date,neutral,neg,pos,total,,,,
2-2,14,24,66,104,,,,
11-2,21,20,66,107,,,,
21-2,13,18,34,65,,,,
27-2,14,40,57,111,,,,
5-3,27,28,52,107,,,,
12-3,27,25,59,111,,,,
20-3,8,5,17,30,,,,
26-3,29,24,43,96,,,,
2-4,20,5,19,44,,,,
9-4,14,13,23,50,,,,
16-4,27,13,23,63,,,,
23-4,28,16,20,64,,,,
28-4,15,23,25,63,,,,
8-5,7,18,15,40,,,,
14-5,30,26,15,71,,,,
21-5,32,22,34,88,,,,
28-5,30,11,62,103,,,,
4-6,17,9,22,48,,,,
11-6,27,10,25,62,,,,
18-6,44,13,29,86,,,,
25-6,44,13,29,86,,,,
2-7,32,13,9,54,,,,
9-7,39,19,25,83,,,,
16-7,34,46,27,107,,,,
,,,,,,,,
